t_s,Coolant low_t_s,Coolant low,Vehicle speed_t_s,Vehicle speed,Vehicle speed_t_s,Vehicle speed,Vehicle speed_t_s,Vehicle speed,Vehicle speed_t_s,Vehicle speed,Vehicle speed_t_s,Vehicle speed,coolant_temperature_outdated_bit_t_s,coolant_temperature_outdated_bit,Road speed_t_s,Road speed,Coolant temperature_t_s,Coolant temperature,Vehicle speed_t_s,Vehicle speed,Vehicle speed_t_s,Vehicle speed,Boost pressure, specified_t_s,Boost pressure, specified,Boost pressure, actual_t_s,Boost pressure, actual,Coolant temperature at radiator outlet_t_s,Coolant temperature at radiator outlet,Coolant temperature at engine outlet, specified_t_s,Coolant temperature at engine outlet, specified,Coolant temperature at radiator outlet, specified_t_s,Coolant temperature at radiator outlet, specified,Coolant temperature difference_t_s,Coolant temperature difference,Vehicle speed, averaged_t_s,Vehicle speed, averaged,Accelerator pedal sensor 1 voltage_t_s,Accelerator pedal sensor 1 voltage,Accelerator pedal sensor 2 voltage_t_s,Accelerator pedal sensor 2 voltage,Engine speed_t_s,Engine speed,Selected gear_t_s,Selected gear,Coolant shut-off valve_t_s,Coolant shut-off valve,Coolant pump, specified_t_s,Coolant pump, specified,Coolant temperature at engine start_t_s,Coolant temperature at engine start,Boost control adaptation, above max_t_s,Boost control adaptation, above max,Boost control adaptation, below min_t_s,Boost control adaptation, below min,Coolant temp at radiator outlet, raw voltage_t_s,Coolant temp at radiator outlet, raw voltage,Electric coolant pump relay_t_s,Electric coolant pump relay,Gearbox coolant valve_t_s,Gearbox coolant valve,Engine block temperature_t_s,Engine block temperature,Coolant temp at engine outlet, raw voltage_t_s,Coolant temp at engine outlet, raw voltage,Coolant temperature_t_s,Coolant temperature,Vehicle speed_t_s,Vehicle speed,Coolant temperature_t_s,Coolant temperature,Vehicle speed_t_s,Vehicle speed,Accelerator pedal position, sensor F_t_s,Accelerator pedal position, sensor F,Accelerator pedal position, sensor E_t_s,Accelerator pedal position, sensor E,Accelerator pedal position_t_s,Accelerator pedal position,Accelerator pedal position, relative_t_s,Accelerator pedal position, relative,Accelerator pedal position_t_s,Accelerator pedal position,Accelerator pedal position, sensor E_t_s,Accelerator pedal position, sensor E,Coolant temperature 1/2_t_s,Coolant temperature 1/2,Boost pressure control_t_s,Boost pressure control,Boost pressure A, specified_t_s,Boost pressure A, specified,Boost pressure sensor A_t_s,Boost pressure sensor A,Boost pressure B, specified_t_s,Boost pressure B, specified,Boost pressure sensor B_t_s,Boost pressure sensor B,Accelerator pedal position_t_s,Accelerator pedal position,Selector lever_t_s,Selector lever,Input shaft speed_t_s,Input shaft speed,Output shaft speed_t_s,Output shaft speed,Selected gear_t_s,Selected gear,Vehicle speed_t_s,Vehicle speed
26.130,25.770,000000,25.789,0,,,,,,,26.000,0,26.050,008700100000,26.050,0,26.023,58,26.023,0,,,25.983,1.012,25.983,1.0130000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.230,26.150,000000,26.172,0,,,,,,,26.000,0,26.050,008700100000,26.050,0,26.023,58,26.023,0,26.120,0,26.210,1.012,26.210,1.0130000000000001,26.210,24.8,26.210,55.5,26.210,-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.321,26.150,000000,26.172,0,,,,,,,26.000,0,26.050,008700100000,26.050,0,26.023,58,26.023,0,26.120,0,26.280,1.012,26.280,1.0130000000000001,26.280,24.8,26.280,56.2,26.280,-48,26.350,30.700000000000003,26.280,0,26.350,0.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.422,26.150,000000,26.172,0,,,,,,,26.420,0,26.050,008700100000,26.050,0,26.023,58,26.023,0,26.120,0,26.401,1.012,26.401,1.0130000000000001,26.401,24.8,26.401,55.5,26.401,-48,26.401,30.700000000000003,26.401,0,26.350,0.796,26.401,0.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.521,26.150,000000,26.172,0,,,,,,,26.420,0,26.470,008700100000,26.470,0,26.443,58,26.443,0,26.120,0,26.500,1.012,26.500,1.0130000000000001,26.500,24.8,26.401,55.5,26.500,-48,26.401,30.700000000000003,26.500,0,26.500,0.796,26.500,0.391,26.500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.621,26.150,000000,26.172,0,,,,,,,26.660,0,26.470,008700100000,26.470,0,26.443,58,26.443,0,26.567,0,26.641,1.012,26.601,1.0130000000000001,26.601,24.8,26.641,55.5,26.601,-48,26.641,30.700000000000003,26.641,0,26.641,0.796,26.641,0.391,26.601,0,26.641,0008,26.641,01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.721,26.150,000000,26.172,0,,,,,,,26.660,0,26.470,008700100000,26.470,0,26.682,58,26.682,0,26.567,0,26.709,1.012,26.709,1.0130000000000001,26.709,24.8,26.641,55.5,26.709,-48,26.641,30.700000000000003,26.709,0,26.641,0.796,26.641,0.391,26.709,0,26.641,0008,26.709,01,26.709,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.833,26.760,000000,26.172,0,,,,,,,26.660,0,26.741,008700100000,26.741,0,26.682,58,26.682,0,26.567,0,26.709,1.012,26.801,1.0130000000000001,26.801,24.8,26.801,56.2,26.709,-48,26.801,30.700000000000003,26.709,0,26.801,0.796,26.801,0.386,26.709,0,26.801,0008,26.709,01,26.709,10,26.801,57.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.921,26.760,000000,26.172,0,,,,,,,26.660,0,26.741,008700100000,26.741,0,26.682,58,26.682,0,26.567,0,26.864,1.012,26.801,1.0130000000000001,26.801,24.8,26.910,56.2,26.864,-48,26.910,30.700000000000003,26.864,0,26.801,0.796,26.864,0.391,26.864,0,26.910,0008,26.864,01,26.864,10,26.910,57.7,26.864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.021,26.760,000000,26.172,0,,,,,,,26.660,0,26.741,008700100000,26.741,0,26.682,58,26.682,0,26.567,0,27.050,1.012,27.050,1.0130000000000001,27.050,24.8,27.050,55.5,27.020,-48,27.050,30.700000000000003,27.020,0,26.950,0.796,27.050,0.386,27.020,0,26.910,0008,27.020,01,27.020,10,26.910,57.7,27.020,0,27.020,0.78,27.050,3.34,27.050,00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
